RegionID,SizeRank,RegionName,RegionType,StateName,11/30/2023
394913,1,New York - NY,msa,NY,453323.7489
753899,2,Los Angeles - CA,msa,CA,703016.1453
394463,3,Chicago - IL,msa,IL,233844.9535
394514,4,Dallas - TX,msa,TX,231205.8119
394692,5,Houston - TX,msa,TX,187400.2267
395209,6,Washington - DC,msa,VA,390894.8562
394974,7,Philadelphia - PA,msa,PA,270426.9667
394856,8,Miami - FL,msa,FL,335262.0007
394347,9,Atlanta - GA,msa,GA,271667.884
394404,10,Boston - MA,msa,MA,513959.2829
394976,11,Phoenix - AZ,msa,AZ,357554.3318
395057,12,San Francisco - CA,msa,CA,848910.3341
395025,13,Riverside - CA,msa,CA,406974.9012
394532,14,Detroit - MI,msa,MI,181745.2222
395078,15,Seattle - WA,msa,WA,534878.566
394865,16,Minneapolis - MN,msa,MN,271470.2188
395056,17,San Diego - CA,msa,CA,677046.9008
395148,18,Tampa - FL,msa,FL,275035.4174
394530,19,Denver - CO,msa,CO,426243.5883
394358,20,Baltimore - MD,msa,MD,255647.2612
395121,21,St. Louis - MO,msa,MO,157786.0298
394943,22,Orlando - FL,msa,FL,248428.2317
394458,23,Charlotte - NC,msa,NC,249183.8791
395055,24,San Antonio - TX,msa,TX,165569.0166
394998,25,Portland - OR,msa,OR,403803.5586
395045,26,Sacramento - CA,msa,CA,431051.0922
394982,27,Pittsburgh - PA,msa,PA,133837.5116
394466,28,Cincinnati - OH,msa,OH,180277.9151
394355,29,Austin - TX,msa,TX,406009.4882
394775,30,Las Vegas - NV,msa,NV,294195.1167
394735,31,Kansas City - MO,msa,MO,168809.4411
394492,32,Columbus - OH,msa,OH,204544.2945
394705,34,Indianapolis - IN,msa,IN,172282.1755
394475,35,Cleveland - OH,msa,OH,148298.937
395059,36,San Jose - CA,msa,CA,914792.423
394902,37,Nashville - TN,msa,TN,320137.3913
395194,38,Virginia Beach - VA,msa,VA,222921.5391
395005,39,Providence - RI,msa,RI,366468.5422
394714,40,Jacksonville - FL,msa,FL,239968.08
394862,41,Milwaukee - WI,msa,WI,228225.943
394935,42,Oklahoma City - OK,msa,OK,124258.1898
395012,43,Raleigh - NC,msa,NC,293382.1624
394849,44,Memphis - TN,msa,TN,102946.2501
395022,45,Richmond - VA,msa,VA,240192.0406
394807,46,Louisville - KY,msa,KY,182816.9399
394910,47,New Orleans - LA,msa,LA,195846.7929
395053,48,Salt Lake City - UT,msa,UT,395374.8611
394669,49,Hartford - CT,msa,CT,250926.8225
394425,50,Buffalo - NY,msa,NY,195847.5909
394388,51,Birmingham - AL,msa,AL,114151.6521
395031,52,Rochester - NY,msa,NY,185478.9599
394640,53,Grand Rapids - MI,msa,MI,239985.5672
395167,54,Tucson - AZ,msa,AZ,284031.7705
753924,55,Urban Honolulu - HI,msa,HI,588633.674
395169,56,Tulsa - OK,msa,OK,125375.3137
394619,57,Fresno - CA,msa,CA,250753.7097
395238,58,Worcester - MA,msa,MA,341414.5509
394938,59,Omaha - NE,msa,NE,186975.9515
394415,60,Bridgeport - CT,msa,CT,395284.9961
394653,61,Greenville - SC,msa,SC,181877.9082
394312,62,Albuquerque - NM,msa,NM,245076.8523
394357,63,Bakersfield - CA,msa,CA,213215.5512
394308,64,Albany - NY,msa,NY,235728.112
394753,65,Knoxville - TN,msa,TN,225275.6174
394367,66,Baton Rouge - LA,msa,LA,152412.5585
394843,67,McAllen - TX,msa,TX,114186.7074
394908,68,New Haven - CT,msa,CT,258487.7394
394561,69,El Paso - TX,msa,TX,146814.3156
394318,70,Allentown - PA,msa,PA,239997.4704
394952,71,Oxnard - CA,msa,CA,596436.1063
394486,72,Columbia - SC,msa,SC,160379.9182
753906,73,North Port - FL,msa,FL,349701.9519
394457,75,Charleston - SC,msa,SC,336806.3781
394648,76,Greensboro - NC,msa,NC,158127.8629
395134,77,Stockton - CA,msa,CA,341524.9848
394440,78,Cape Coral - FL,msa,FL,319923.4021
394399,79,Boise City - ID,msa,ID,350254.9185
394484,80,Colorado Springs - CO,msa,CO,326755.2212
394798,81,Little Rock - AR,msa,AR,132919.9321
394766,82,Lakeland - FL,msa,FL,207958.2596
394304,83,Akron - OH,msa,OH,135448.8154
394531,84,Des Moines - IA,msa,IA,176563.2448
395115,85,Springfield - MA,msa,MA,271269.1419
394931,87,Ogden - UT,msa,UT,341013.4368
394816,88,Madison - WI,msa,WI,281750.2855
395235,89,Winston - NC,msa,NC,161357.9353
394528,90,Deltona - FL,msa,FL,274949.6085
395143,91,Syracuse - NY,msa,NY,162164.1956
395006,92,Provo - UT,msa,UT,362737.9196
395160,93,Toledo - OH,msa,OH,125190.4061
395224,94,Wichita - KS,msa,KS,116537.0929
394549,95,Durham - NC,msa,NC,295475.8099
394352,96,Augusta - GA,msa,GA,153348.3536
394957,97,Palm Bay - FL,msa,FL,247436.9082
394711,98,Jackson - MS,msa,MS,92627.02403
394666,99,Harrisburg - PA,msa,PA,202494.1889
395113,100,Spokane - WA,msa,WA,302266.1433
395075,101,Scranton - PA,msa,PA,149888.8611
394460,102,Chattanooga - TN,msa,TN,215663.0365
394871,103,Modesto - CA,msa,CA,333695.722
394768,104,Lancaster - PA,msa,PA,257174.6144
394997,105,Portland - ME,msa,ME,410255.1366
395245,106,Youngstown - OH,msa,OH,99523.28534
394770,107,Lansing - MI,msa,MI,145058.1117
394590,108,Fayetteville - AR,msa,AR,233515.2552
